LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	One
Time_Pref	Absolute
Operator	plank-PXI
Date	2020/02/12
Time	16:19:33.0045894003367418776
***End_of_Header***	
	
Channels	16																
Samples	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	
Date	2020/02/12	2020/02/12	2020/02/12	2020/02/12	2020/02/12	2020/02/12	2020/02/12	2020/02/12	2020/02/12	2020/02/12	2020/02/12	2020/02/12	2020/02/12	2020/02/12	2020/02/12	2020/02/12	
Time	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	16:19:33.0045894003367418776	
Y_Unit_Label	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	
X_Dimension	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	
X0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	
Delta_X	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	
***End_of_Header***																	
X_Value	Voltage_0	Voltage_1	Voltage_2	Voltage_3	Voltage_4	Voltage_5	Voltage_6	Voltage_7	Voltage_8	Voltage_9	Voltage_10	Voltage_11	Voltage_12	Voltage_13	Voltage_14	Voltage_15	Comment
0.000000	3.375491	-0.252188	0.240782	0.569880	-0.188390	-8.078901	1.183279	-0.128534	-0.074028	-0.346626	0.633087	-0.085162	-0.318460	-0.289624	0.255032	6.651369
0.001000	3.363361	-0.251002	0.227517	0.556639	-0.187310	-8.076416	1.175985	-0.127735	-0.073874	-0.346540	0.619614	-0.084341	-0.318016	-0.289558	0.241659	6.636608
0.002000	3.350614	-0.249758	0.213246	0.542328	-0.186162	-8.073895	1.168011	-0.126891	-0.073719	-0.346453	0.605088	-0.083467	-0.317565	-0.289481	0.227255	6.620560
0.003000	3.338486	-0.248566	0.199379	0.528340	-0.185050	-8.071378	1.160176	-0.126072	-0.073558	-0.346355	0.590931	-0.082623	-0.317134	-0.289379	0.213234	6.604780
0.004000	3.328155	-0.247532	0.187283	0.516036	-0.184073	-8.068906	1.153283	-0.125349	-0.073395	-0.346241	0.578529	-0.081880	-0.316741	-0.289251	0.200979	6.590793
0.005000	3.320625	-0.246751	0.178151	0.506610	-0.183322	-8.066512	1.148045	-0.124778	-0.073227	-0.346102	0.569097	-0.081308	-0.316406	-0.289088	0.191692	6.579953
0.006000	3.316628	-0.246288	0.172899	0.500987	-0.182861	-8.064225	1.145018	-0.124406	-0.073055	-0.345935	0.563567	-0.080955	-0.316142	-0.288892	0.186301	6.573311
0.007000	3.316553	-0.246180	0.172054	0.499713	-0.182726	-8.062062	1.144538	-0.124258	-0.072881	-0.345738	0.562487	-0.080849	-0.315952	-0.288664	0.185347	6.571505
0.008000	3.320398	-0.246429	0.175718	0.502913	-0.182925	-8.060030	1.146692	-0.124338	-0.072706	-0.345513	0.565966	-0.080994	-0.315837	-0.288411	0.188932	6.574697
0.009000	3.327787	-0.247002	0.183544	0.510267	-0.183431	-8.058119	1.151311	-0.124625	-0.072531	-0.345265	0.573673	-0.081371	-0.315787	-0.288141	0.196720	6.582565
0.010000	3.337988	-0.247831	0.194789	0.521058	-0.184184	-8.056312	1.157986	-0.125082	-0.072358	-0.344999	0.584859	-0.081934	-0.315785	-0.287862	0.207964	6.594328
0.011000	3.349994	-0.248830	0.208359	0.534219	-0.185106	-8.054576	1.166101	-0.125651	-0.072187	-0.344726	0.598428	-0.082623	-0.315814	-0.287586	0.221567	6.608819
0.012000	3.362621	-0.249889	0.222939	0.548457	-0.186095	-8.052876	1.174899	-0.126266	-0.072020	-0.344454	0.613055	-0.083363	-0.315850	-0.287323	0.236210	6.624599
0.013000	3.374629	-0.250895	0.237118	0.562375	-0.187050	-8.051174	1.183563	-0.126857	-0.071858	-0.344192	0.627314	-0.084077	-0.315868	-0.287082	0.250469	6.640118
0.014000	3.384839	-0.251744	0.249535	0.574615	-0.187870	-8.049426	1.191291	-0.127352	-0.071702	-0.343949	0.639821	-0.084687	-0.315847	-0.286872	0.262973	6.653849
0.015000	3.392251	-0.252341	0.258985	0.583977	-0.188465	-8.047599	1.197367	-0.127693	-0.071548	-0.343729	0.649359	-0.085129	-0.315769	-0.286694	0.272506	6.664443
0.016000	3.396128	-0.252622	0.264564	0.589542	-0.188775	-8.045667	1.201240	-0.127838	-0.071402	-0.343542	0.654998	-0.085353	-0.315624	-0.286552	0.278151	6.670842
0.017000	3.396086	-0.252544	0.265729	0.590755	-0.188755	-8.043606	1.202568	-0.127752	-0.071253	-0.343380	0.656186	-0.085326	-0.315399	-0.286436	0.279361	6.672415
